Wed May 26 09:33:40 2021    output.dat

         28906884 function calls (28887370 primitive calls) in 15.024 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1527    0.001    0.000    0.002    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\lang\lex_attrs.py:32(is_ascii)
      389    0.001    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:2772(__init__)
     3569    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
     2372    0.001    0.000    0.031    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
     3570    0.001    0.000    0.001    0.000 {built-in method math.sqrt}
      739    0.001    0.000    0.006    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\tokens\_dict_proxies.py:21(__init__)
     5280    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      102    0.001    0.000    0.007    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\interpolate\interpolate.py:425(__init__)
        2    0.001    0.001    0.001    0.001 {method 'tobytes' of 'numpy.ndarray' objects}
       18    0.001    0.000    0.001    0.000 {built-in method io.open_code}
     3016    0.001    0.000    0.002    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\lang\lex_attrs.py:142(lower)
      137    0.001    0.000    0.008    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\ndimage\filters.py:83(correlate1d)
     1844    0.001    0.000    0.008    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:1540(_shrink_mask)
      102    0.001    0.000    0.001    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
        3    0.001    0.000    0.013    0.004 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:201(interpret_config)
       23    0.001    0.000    0.001    0.000 {built-in method nt.open}
       23    0.001    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_compile.py:413(<listcomp>)
      560    0.001    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:1850(_signature_is_functionlike)
      715    0.001    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:2489(__init__)
      137    0.001    0.000    0.004    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\ndimage\_ni_support.py:73(_get_output)
      548    0.001    0.000    0.001    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\signal\_arraytools.py:7(axis_slice)
     4648    0.001    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:249(match)
     2759    0.001    0.000    0.001    0.000 spacy\tokenizer.pyx:220(_reset_cache)
     6457    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      739    0.001    0.000    0.003    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\_collections_abc.py:824(update)
      968    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
      738    0.001    0.000    0.009    0.000 spacy\vocab.pyx:230(__getitem__)
